X,Y
5.9090909090909065, -17.868852459016395
5.9090909090909065, -17.475409836065577
7.878787878787875, -16.98360655737705
11.818181818181813, -16.52459016393443
15.75757575757575, -16.16393442622951
21.666666666666657, -16.622950819672134
25.606060606060595, -17.08196721311476
33.4848484848485, -17.11475409836066
45.30303030303031, -16.819672131147545
53.18181818181816, -16.622950819672134
63.03030303030303, -16.49180327868853
68.93939393939391, -16.16393442622951
72.87878787878788, -15.901639344262298
70.90909090909093, -15.639344262295085
70.90909090909093, -15.377049180327871
70.90909090909093, -14.95081967213115
70.90909090909093, -14.557377049180332
70.90909090909093, -13.9344262295082
72.87878787878788, -13.409836065573773
76.81818181818181, -13.278688524590166
84.69696969696969, -13.344262295081968
92.57575757575756, -13.245901639344265
104.39393939393938, -12.983606557377051
120.15151515151513, -12.491803278688526
135.90909090909088, -12.131147540983608
155.60606060606062, -11.704918032786887
179.24242424242425, -11.409836065573773
226.5151515151515, -11.016393442622952
202.87878787878788, -11.213114754098363
250.15151515151518, -10.885245901639346
269.8484848484849, -10.852459016393444
297.42424242424244, -10.754098360655739
334.84848484848493, -10.688524590163937
368.3333333333333, -10.688524590163937
411.6666666666668, -10.590163934426231
397.87878787878793, -10.655737704918035
439.2424242424243, -10.622950819672132
470.7575757575758, -10.622950819672132
502.2727272727273, -10.590163934426231
527.878787878788, -10.590163934426231
571.2121212121212, -10.590163934426231
604.6969696969697, -10.590163934426231
626.3636363636365, -10.55737704918033
651.969696969697, -10.55737704918033
679.5454545454547, -10.55737704918033
711.0606060606062, -10.55737704918033
742.5757575757577, -10.55737704918033
770.1515151515152, -10.55737704918033
793.787878787879, -10.590163934426231
811.5151515151515, -10.491803278688526
825.3030303030305, -10.491803278688526
837.1212121212122, -10.196721311475411
846.969696969697, -9.737704918032788
852.8787878787878, -9.34426229508197
856.818181818182, -8.983606557377051
860.7575757575758, -8.524590163934427
862.7272727272727, -8.196721311475411
864.6969696969697, -7.868852459016393
868.6363636363637, -7.245901639344265
876.5151515151517, -6.327868852459018
876.5151515151517, -6.065573770491804
